train_error,val_error
2.13675556315396,1.7772144576803937
1.7495669686904047,1.7574677870649704
1.7347275206867832,1.7395980418590276
1.7278295602405274,1.7349336748552895
1.7231982483996426,1.76708685019309
1.7183070893471157,1.7253495887465475
1.7136675273255761,1.8567886223898593
1.7160953192855144,1.7359505862653442
1.7111738805093917,1.7377745751221014
1.7093574890672925,1.7287632507633155
1.7063268436129422,1.7193120954634045
1.7040870463862754,1.7559011023363784
1.7023870893891715,1.7391729253606314
1.700226480875919,1.7082421357691944
1.70155985153739,1.7068415814003595
1.6972047864296078,1.7253720072997933
1.69694682957,1.7036998022710153
1.6977985935552982,1.702726958743958
1.6933063629496998,1.7031786119835246
1.6935012354195587,1.710782701253927
1.6933516090441085,1.7007576799810946
1.6923786626667148,1.7521695023059658
1.6916708242184273,1.702939703229034
1.6916795637429218,1.755169977136208
1.6913871458875853,1.715812082937759
1.6881150342635365,1.696827836342803
1.6866595865268978,1.693380957889449
1.6843129383477227,1.6961737918643183
1.6831076198901083,1.739373983923752
1.6823220586911416,1.7013407346340386
1.6809025485926257,1.7114523555559995
1.6782146588066034,1.7242574609586947
1.676993279757176,1.7158672399655532
1.670459366681643,1.6955512424196493
1.6726175099523333,1.703844579798202
1.6624349998131294,1.699741552404166
1.6536099788051528,1.6555681859532136
1.6431316124036002,1.6605235493533421
1.6314435214137184,1.6795337479848493
1.6137736754151035,1.6758571163295306
1.603447360024334,1.6132836783651139
1.5929901757758127,1.614257773745328
1.5816399587067334,1.599546918809818
1.5733095590146509,1.594056526177638
1.5675346918270638,1.5836948419132606
1.5605011354134355,1.5879661564029548
1.5547041578718548,1.5775304109587862
1.5493030448534513,1.5979385627555331
1.542386548819883,1.5914687079492265
1.5395834698522421,1.6019401295908455
1.531891819090259,1.5710754311307424
1.5264098477908117,1.5722287887898263
1.5220918560423438,1.5661927281085206
1.5155039556879115,1.5595917800885433
1.508970023383214,1.556114209983446
1.5037953489375533,1.548518616190176
1.4976682933085668,1.5805686565606238
1.489652453835994,1.550149930074287
1.4782631605681673,1.5606272534166319
1.4759456281382295,1.553580188099246
