train_error,val_error
2.316909055425729,1.7752792731558547
1.7534836087651648,1.7571498074399134
1.736409090079237,1.747096296849037
1.730217780025244,1.7445748824140863
1.7252314438723464,1.733797777311465
1.7205013531097135,1.7467688781107995
1.716464325691508,1.7493942108691176
1.716524429676749,1.738907890747875
1.7135092516490118,1.7355498730350953
1.711747548001759,1.7310854710785453
1.7071571964293315,1.7200654371929938
1.7093214428925954,1.7450962522639621
1.705459575539105,1.736220300269836
1.7066306380344107,1.7288649743450253
1.707533155784723,1.738385392029522
1.7044263721877573,1.7124243646877204
1.7013187773557417,1.7315316717722213
1.7023770839684573,1.7129586332779962
1.6978471921702576,1.7126383448179034
1.696564549910273,1.7213799581645133
1.695609485358941,1.7069181997335545
1.6964882449519547,1.712521550175097
1.6937288870020069,1.7460005495102562
1.6924090648444152,1.7044990597433953
1.6924931766097615,1.7053803660632714
1.690742773409423,1.823254730088062
1.6935768229445975,1.714400866410708
1.6927159744331255,1.7029270995861605
1.6894655600020037,1.7553102026645981
1.6876256291513212,1.7140448586411299
1.6919247965638822,1.697408711689674
1.693255636875691,1.705065984661598
1.6879486761167828,1.709902628617021
1.6890551349569418,1.8041582091543384
1.6857209181394464,1.695499387595866
1.6859006342576195,1.694603285853243
1.689817809070453,1.7024973365044695
1.6833200352023474,1.7140636695978129
1.6834295449130132,1.6922981994734605
1.6830416168738536,1.6962680730344077
1.6794472426835025,1.7208003937887963
1.6799453048339907,1.718430868975633
1.6792021378207038,1.6869964083456968
1.678078586761138,1.695525066073171
1.6745400102911072,1.6996143898224558
1.6736064619105544,1.694025055092153
1.6722558682424795,1.686060519158166
1.6706744786000431,1.6835093027292058
1.6701669592973998,1.6902161384338656
1.667649874474414,1.7509882038177853
1.6650077809853359,1.6765770748901128
1.6619948254586667,1.6877977912744797
1.6580406772749792,1.6758993895294767
1.6542593512671209,1.6748232277580761
1.6528797552204153,1.7043937025472924
1.6477378892646988,1.658644568194692
1.6411691973229634,1.7182548341346113
1.633669286131945,1.6470044659471703
1.627028378190597,1.6426251951795372
1.6167284378889837,1.6509696325566667
1.6094443956868076,1.6253944007451442
1.5971184488158454,1.6182813449924567
1.5888301034718502,1.6308079163874145
1.5807120604954785,1.6161963285263685
1.5774159584463232,1.599544406312436
